수준,어휘,길잡이말,품사
초급,우선02,먼저,부사
초급,우유02,를 마시다,명사
초급,우체국,에 가다,명사
초급,우표,를 붙이다,명사
초급,운동02,운동 시설,명사
초급,운동복,을 입다,명사
초급,운동장,을 뛰다,명사
초급,운동화,를 신다,명사
초급,운전02,초보 운전,명사
초급,운전사,직업,명사
초급,울다01,아기가,동사
초급,울산01,도시,명사
초급,울음,을 그치다,명사
초급,움직이다,몸을,동사
초급,웃다,활짝 웃다,동사
초급,웃음,이 나다,명사
초급,원01,천 원,의존명사
초급,원피스,를 입다,명사
초급,원하다02,도움을 ,동사
초급,월02,몇 월,명사/의존명사
초급,월급,을 받다,명사
초급,월요일,요일,명사
초급,위01,아래,명사
초급,위쪽,을 향하다,명사
초급,위치01,를 정하다,명사
초급,위험,이 닥치다,명사
초급,유리10,가 깨지다,명사
초급,유명01,유명 가수,명사
초급,유월01,달(월),명사
초급,유치원,에 입학하다,명사
초급,유학04,을 가다,명사
초급,유학생01,유학생 신분,명사
초급,유행02,을 따르다,명사
초급,육02,숫자,수사/관형사
초급,육교02,를 건너다,명사
초급,육십,숫자,수사/관형사
초급,윷놀이,를 하다,명사
초급,은행02,에 입금하다,명사
초급,음01,"음, 그럴 듯하다",감탄사
초급,음료,를 마시다,명사
초급,음료수,물,명사
초급,음식,을 먹다,명사
초급,음식점,에서 식사하다,명사
초급,음악01,을 듣다,명사
초급,음악가,가 연주하다,명사
초급,응01,대답,감탄사
초급,의미02,가 있다,명사
초급,의사12,치과 의사,명사
초급,의자03,에 앉다,명사
초급,이03,를 닦다,명사
초급,이05,"그, 저 ",대명사/관형사
초급,이09,둘 ,수사/관형사
초급,이거01,이것,대명사
초급,이것,−,대명사
초급,이곳,장소,대명사
초급,이기다01,경기에서,동사
초급,이날,이날 공연,명사
초급,이다03,책이다,조사
초급,이따가,이따가 가다,부사
초급,이때,를 놓치다,명사
초급,이런01,이런 일,관형사
초급,이렇다,결과가,형용사
초급,이르다03,빠르다,형용사
초급,이름,을 묻다,명사
초급,이마01,신체,명사
초급,이모02,친척,명사
초급,이미01,이미 끝나다,부사
초급,이번01,이번 주,명사
초급,이분01,그분,대명사
초급,이불01,을 덮다,명사
초급,이사14,를 가다,명사
초급,이삿짐,을 싸다,명사
초급,이상05,한 시간 이상,명사
초급,이상12,이상 기온,명사
초급,이십,숫자,수사/관형사
초급,이야기,를 들려주다,명사
초급,이용01,이 많다,명사
초급,이웃,이웃 나라,명사
초급,이월01,달(월),명사
초급,이유04,를 묻다,명사
초급,이전03,이전의 경험,명사
초급,이제01,이제부터,명사/부사
초급,이쪽02,으로 향하다,대명사
초급,이틀01,이 지나다,명사
초급,이해06,가 쉽다,명사
초급,이후02,이후의 삶,명사
초급,익다01,과일이 ,동사
초급,익숙하다,기계에,형용사
초급,인기01,가 많다,명사
초급,인도네시아,나라,명사
초급,인분,삼 인분,의존명사
초급,인사02,아침 인사,명사
초급,인삼,을 달이다,명사
초급,인정받다,능력을,동사
초급,인천02,지명,명사
초급,인터넷,에 접속하다,명사
초급,인형01,인형 놀이,명사
초급,일01,이 쌓이다,명사
초급,일05,숫자,수사/관형사
초급,일07,삼 일,명사/의존명사
초급,일곱,숫자,수사/관형사
초급,일기12,를 쓰다,명사
초급,일본02,나라,명사
초급,일부02,일부 지역,명사
초급,일식04,음식,명사
초급,일식집,에서 먹다,명사
초급,일어나다,일찍 일어나다,동사
초급,일어서다,자리에서 ,동사
초급,일요일,요일,명사
초급,일월01,달(월),명사
초급,일주일,이 걸리다,명사
초급,일찍,일찍 일어나다,부사
초급,일흔,숫자,수사·관형사
초급,읽다,책을,동사
초급,잃다,물건을,동사
초급,잃어버리다,물건을 ,동사
초급,입,을 열다,명사
초급,입구02,지하철,명사
초급,입다01,옷을,동사
초급,입술,신체,명사
초급,입원01,입원 환자,명사
초급,입장권,을 사다,명사
초급,입학,대학 입학,명사
초급,입학시험,에 합격하다,명사
초급,있다01,집에,동사/형용사
초급,잊다01,번호를,동사
초급,잊어버리다,번호를,동사
초급,잎01,이 떨어지다,명사
초급,자기소개,를 하다,명사
초급,자꾸01,자꾸 반복하다,부사
초급,자다01,잠을,동사
초급,자동차,를 운전하다,명사
초급,자동판매기,를 누르다,명사
초급,자라다01,나무가,동사
초급,자랑01,을 하다,명사
초급,자르다01,머리를,동사
초급,자리01,에 앉다,명사
초급,자세히,자세히 알다,부사
초급,자식01,을 기르다,명사
초급,자신01,나 자신,명사
초급,자연01,으로 돌아가다,명사/부사
초급,자유03,를 누리다,명사
초급,자장면,음식,명사
초급,자전거,를 타다,명사
초급,자주01,자주 만나다,부사
초급,자판기,커피 자판기,명사
초급,작년,시간,명사
초급,작다01,얼굴이,형용사
초급,잔03,커피 잔,명사
초급,잔치01,생일 잔치,명사
초급,잘02,잘 알다,부사
초급,잘되다,일이,동사
초급,잘못,이 많다,부사/명사
초급,잘못되다,순서가,동사
초급,잘못하다,선택을,동사
초급,잘생기다,얼굴이,형용사
초급,잘하다,외국어를,동사
초급,잠01,을 자다,명사
초급,잠깐,잠깐 기다리다,부사/명사
초급,잠시,잠시 기다리다,부사/명사
초급,잠자다,새근새근 잠자다,동사
초급,잡다01,손을,동사
초급,잡수시다,진지를,동사
초급,잡지,를 보다,명사
초급,잡채,음식,명사
초급,장21,한 장,의존명사
초급,장갑01,을 끼다,명사
초급,장난감,을 가지고 놀다,명사
초급,장마01,가 오다,명사
초급,장미05,꽃,명사
초급,장소05,를 정하다,명사
초급,재료01,를 준비하다,명사
초급,재미01,가 있다,명사
초급,재미없다,이야기가,형용사
초급,재미있다,이야기가,형용사
초급,재채기,가 나오다,명사
초급,저03,사람(1인칭),대명사
초급,저04,이도 저도,대명사/관형사
초급,저05,"저, 있잖아요.",감탄사
초급,저거01,저것,대명사
초급,저것,−,대명사
초급,저곳,장소,대명사
초급,저금,을 하다,명사
초급,저기01,장소,대명사
초급,저녁,이 되다,명사
초급,저런01,그런,관형사
초급,저렇다,−,형용사
초급,저번02,저번 주,명사
초급,저분01,이분,대명사
초급,저쪽,방향,대명사
초급,저희01,저희 회사,대명사
초급,적다01,이름을,동사
초급,적다02,양이,형용사
초급,적당하다02,가격이 ,형용사
초급,전07,전 세계,관형사
초급,전08,오래 전,명사/관형사
초급,전공05,을 결정하다,명사
초급,전기15,가 끊기다,명사
초급,전부05,전부 모이다,명사/부사
초급,전철04,을 타다,명사
초급,전체01,전체 국민,명사
초급,전하다,편지를,동사
초급,전혀01,전혀 모르다,부사
초급,전화07,를 걸다,명사
초급,전화기,가 울리다,명사
초급,전화번호,를 묻다,명사
초급,젊다,나이가,형용사
초급,점수06,가 높다,명사
초급,점심,에 만나다,명사
초급,점심때,가 되다,명사
초급,점심시간,이 되다,명사
초급,점점01,점점 추워지다,부사
초급,접다01,종이를,동사
초급,접시,에 담다,명사
초급,젓가락,을 쓰다,명사
초급,정거장,버스 정거장,명사
초급,정도11,어느 정도,명사
초급,정류장,버스 정류장,명사
초급,정리09,책상 정리,명사
초급,정말01,정말 좋다,명사/부사
초급,정문03,으로 다니다,명사
초급,정신없이,정신없이 일하다,부사
초급,정원06,을 가꾸다,명사
초급,정하다03,약속을 ,동사
초급,정형외과,에서 치료하다,명사
초급,정확01,발음이,명사
초급,젖다01,옷이 ,동사
초급,제01,사람(1인칭),대명사
초급,제목02,을 짓다,명사
초급,제일04,제일 좋아하다,명사/부사
초급,제주도01,지명,명사
초급,조금01,조금 먹다,명사/부사
초급,조금씩,조금씩 가다,부사
초급,조심02,운전 조심,명사
초급,조용하다01,집이 ,형용사
초급,조용히,조용히 말하다,부사
초급,조카,가족,명사
초급,졸다01,깜빡 졸다,동사
초급,졸업,입학,명사
초급,좀02,좀 비싸다,부사
초급,좁다01,방이,형용사
초급,종류,가 다양하다,명사
초급,종업원,직업,명사
초급,종이01,에 쓰다,명사
초급,좋다01,날씨가,형용사
초급,좋아하다,꽃을,동사
초급,죄송하다,마음이,형용사
초급,주26,이번 주 ,의존명사/명사
초급,주다01,선물을 ,동사
초급,주로01,주로 말하다,부사
초급,주말02,을 보내다,명사
초급,주머니,에 넣다,명사
초급,주무시다,잠을,동사
초급,주문04,을 받다,명사
초급,주변04,주변 환경,명사
초급,주부03,로 살다,명사
초급,주사13,를 맞다,명사
초급,주소01,를 적다,명사
초급,주스,를 마시다,명사
초급,주위02,눈 주위,명사
초급,주인01,가게 주인,명사
초급,주일03,이번 주일,명사/의존명사
초급,주차04,주차 위반,명사
초급,주차장,에 세우다,명사
초급,주황색,색깔,명사
초급,죽다01,사람이,동사
초급,준비,출근 준비,명사
초급,줄01,을 감다,명사
초급,줄다,크기가 ,동사
초급,줄이다,소리를,동사
초급,줍다01,쓰레기를,동사
초급,중04,회의 중,의존명사
초급,중간01,집과 학교의 중간,명사
초급,중국01,나라 ,명사
초급,중국집,에 주문하다,명사
초급,중심01,서울의 중심,명사
초급,중앙01,무대 중앙,명사
초급,중요02,중요 자료,명사
초급,중학교,에 입학하다,명사
초급,중학생,이 되다,명사
초급,즐거워하다,매우 즐거워하다,동사
초급,즐겁다,마음이,형용사
초급,즐기다01,휴가를 ,동사
초급,지각05,을 하다,명사
초급,지갑03,에 넣다,명사
초급,지금03,지금부터 ,명사/부사
초급,지나가다,시간이,동사
초급,지나다,시간이,동사
초급,지난달,시간,명사
초급,지난번,시간,명사
초급,지난주,시간,명사
초급,지난해,시간,명사
초급,지내다01,잘 지내다,동사
초급,지다03,경기에서,동사
초급,지도03,를 보다,명사
초급,지루하다01,수업이,형용사
초급,지르다03,소리를,동사
초급,지방05,남쪽 지방,명사
초급,지우개,로 지우다,명사
초급,지우다01,지우개로,동사
초급,지키다01,나라를,동사
초급,지하,로 내려가다,명사
초급,지하도,를 건너다,명사
초급,지하철,을 타다,명사
초급,지하철역,에 도착하다,명사
초급,직업,을 구하다,명사
초급,직원03,을 모집하다,명사
초급,직장05,에 다니다,명사
초급,직접,직접 만나다,명사/부사
초급,진짜,진짜 괜찮다,명사/부사
초급,진하다01,안개가,형용사
초급,질문,에 답하다,명사
초급,짐01,을 싸다,명사
초급,집01,에 살다,명사
초급,집들이,에 초대하다,명사
초급,집안일,을 보다,명사
초급,짓다01,집을,동사
초급,짜다03,맛이,형용사
초급,짜증,을 내다,명사
초급,짝01,을 맞추다,명사
초급,짧다,다리가,형용사
초급,짬뽕,음식,명사
초급,쪽05,방향,의존명사
초급,찌개01,를 끓이다,명사
초급,찌다01,살이,동사
초급,찌다05,감자를,동사
초급,찍다02,도장을,동사
초급,차05,자동차,명사
초급,차08,를 마시다,명사
초급,차갑다,물이,형용사
초급,차다01,공간이,동사
초급,차다02,공을,동사
초급,차다03,시계를,동사
초급,차다04,바람이,형용사
초급,차례01,지키다,명사
초급,착하다,마음이,형용사
초급,찬물01,을 마시다,명사
초급,참01,참 좋다,부사
초급,참다,기침을,동사
초급,참외01,과일,명사
초급,창문,을 열다,명사
초급,찾다,지갑을,동사
초급,찾아가다,교실로,동사
초급,찾아보다,수첩을,동사
초급,찾아오다,손님이,동사
초급,채소,를 먹다,명사
초급,책01,을 읽다,명사
초급,책상01,가구,명사
초급,책장02,가구,명사
초급,처음,처음 시작하다,명사
초급,천03,숫자,수사·관형사
초급,천만01,숫자,수사·관형사/명사/부사
초급,천천히,천천히 가다,부사
초급,첫,첫 만남,관형사
초급,첫날,새해 첫날,명사
초급,첫째,첫째 시간,수사·관형사/명사
초급,청년,젊은 청년,명사
초급,청바지,를 입다,명사
초급,청소06,화장실 청소,명사
초급,청소년,청소년 시절,명사
초급,체육관,실내 체육관,명사
초급,체크무늬,체크무늬 남방,명사
초급,쳐다보다,하늘을,동사
초급,초03,초기,의존명사
초급,초07,시간,의존명사
초급,초대06,를 하다,명사
초급,초대장,을 보내다,명사
초급,초등학교,에 입학하다,명사
초급,초등학생,이 되다,명사
초급,초록색,색깔,명사
초급,초콜릿,을 먹다,명사
초급,최고02,최고 점수,명사
초급,최근,에 들다,명사
초급,추다02,춤을,동사
초급,추석01,명절,명사
초급,축구04,운동,명사
초급,축구공,을 차다,명사
초급,축하,축하 파티,명사
초급,출구01,로 나가다,명사
초급,출근,퇴근,명사
초급,출발,도착,명사
초급,출석,을 부르다,명사
초급,출입,을 통제하다,명사
초급,출입국,출입국 사무소,명사
초급,출장01,을 가다,명사
초급,출퇴근,을 하다,명사
초급,춤01,을 추다,명사
초급,춤추다,가수들이,동사
초급,춥다,날씨가,형용사
초급,충분하다01,시간이,형용사
초급,취미04,취미 생활,명사
초급,취소01,예약 취소,명사
초급,취직,이 되다,명사
초급,층02,10층 건물,명사
초급,치과,병원,명사
초급,치다02,책상을,동사
초급,치료,를 받다,명사
초급,치마01,를 입다,명사
초급,치약,을 짜다,명사
초급,치킨,음식,명사
초급,친구02,를 만나다,명사
초급,친절,로 대하다,명사
초급,친척,이 모이다,명사
초급,친하다,친구와,형용사
초급,칠01,숫자,수사/관형사
초급,칠십,숫자,수사/관형사
초급,칠월,달(월),명사
초급,칠판,에 쓰다,명사
초급,침대02,가구,명사
초급,침실,에서 자다,명사
초급,칫솔,로 이를 닦다,명사
초급,칭찬,을 듣다,명사
초급,카드,를 쓰다,명사
초급,카레,음식,명사
초급,카메라,로 찍다,명사
초급,카페,에서 만나다,명사
초급,칼01,로 자르다,명사
초급,칼국수,음식,명사
초급,캐나다,나라,명사
초급,커피,를 마시다,명사
초급,커피숍,에서 만나다,명사
초급,컴퓨터,컴퓨터 게임,명사
초급,컵,을 닦다,명사
초급,케이크,를 먹다,명사
초급,켜다01,불을,동사
초급,켜다02,바이올린을,동사
초급,켤레02,한 켤레,의존명사
초급,코01,가 높다,명사
초급,코끼리,동물,명사
초급,콘서트,를 보다,명사
초급,콜라,를 마시다,명사
초급,콧물,이 나오다,명사
초급,콩01,식물,명사
초급,크기,가 크다,명사
초급,크다01,크기가 ,형용사/동사
초급,크리스마스,크리스마스 트리,명사
초급,큰소리01,가 들리다,명사
초급,키01,키가 큰 사람,명사
초급,키우다,강아지를,동사
초급,킬로그램,단위,의존명사
초급,킬로미터,단위,의존명사
초급,타다01,불에,동사
초급,타다02,차에,동사
초급,타다03,커피를,동사
초급,탁구,를 치다,명사
초급,탕수육,음식,명사
초급,태국,나라,명사
초급,태권도,를 배우다,명사
초급,태극기,를 달다,명사
초급,태도03,가 좋다,명사
초급,태어나다,아이가,동사
초급,태풍,이 불다,명사
초급,택배,로 보내다,명사
초급,택시,를 타다,명사
초급,터미널,에서 내리다,명사
초급,테니스,를 치다,명사
초급,테니스장,에서 연습핟,명사
초급,테이블,에 놓다,명사
초급,텔레비전,을 보다,명사
초급,토끼,동물,명사
초급,토마토,채소,명사
초급,토요일,요일,명사
초급,통장02,을 만들다,명사
초급,통화04,전화 통화,명사
초급,퇴근,출근,명사
초급,퇴원01,퇴원 수속,명사
초급,튀기다02,기름에,동사
초급,튀김01,을 먹다,명사
초급,트럭,을 타다,명사
초급,특별하다,관심이,형용사
초급,특별히,특별히 좋아하다,부사
초급,특히,특히 좋아하다,부사
초급,튼튼하다,몸이,형용사
초급,틀다,텔레비전을,동사
초급,틀리다01,답이,동사
초급,티셔츠,를 입다,명사
초급,팀01,을 이루다,명사
초급,파란색,색깔,명사
초급,파랗다,하늘이,형용사
초급,파티,를 열다,명사
초급,팔01,신체,명사
초급,팔03,숫자,수사/관형사
초급,팔다,책을,동사
초급,팔리다,물건이,동사
초급,팔십,숫자,수사/관형사
초급,팔월,달(월),명사
초급,펴다,책을,동사
초급,편리03,고객의 편리,명사
초급,편안01,을 바라다,명사
초급,편의점,에서 사다,명사
초급,편지02,를 쓰다,명사
초급,편찮다,할아버지께서,형용사
초급,편하다,마음이,형용사
초급,평소,와 같다,명사
초급,평일,주말,명사
초급,포도06,과일,명사
초급,포장01,선물 포장,명사
초급,표04,를 끊다,명사
초급,푸르다,나무가,형용사
초급,푹01,푹 자다,부사
초급,풀다,나사를,동사
초급,풍경01,을 보다,명사
초급,프라이팬,에 볶다,명사
초급,프랑스02,나라,명사
초급,프로그램,교육 프로그램,명사
초급,피02,를 흘리다,명사
초급,피곤,에 지치다,명사
초급,피다01,꽃이,동사
초급,피아노01,를 치다,명사
초급,피우다01,꽃을,동사
초급,피자,를 주문하다,명사
초급,필요,를 충족하다,명사
초급,필통,에 넣다,명사
초급,하나,숫자,수사/명사
초급,하늘01,이 높다,명사
초급,하늘색,색깔,명사
초급,하다01,운동을,동사
초급,-하다02,건강하다,접사
초급,하루01,를 보내다,명사
초급,하숙비,를 내다,명사
초급,하숙집,에 묵다,명사
초급,하얀색,색깔,명사
초급,하얗다,눈이,형용사
초급,하지만,−,부사
초급,학교,에 다니다,명사
초급,학기02,가 시작되다,명사
초급,학년,새 학년,명사
초급,학생,을 가르치다,명사
초급,학생증,을 제시하다,명사
초급,학원02,영어 학원,명사
초급,한01,한 명,관형사
초급,한가하다02,마음이,형용사
초급,한강01,지명,명사
초급,한국05,나라,명사
초급,한글01,을 쓰다,명사
초급,한두,한두 명,관형사
초급,한번,한번 해 보다,명사/부사
초급,한복,을 입다,명사
초급,한식04,을 먹다,명사
초급,한식집02,음식점,명사
초급,한옥,에 살다,명사
초급,한잔,한잔 마시다,명사
초급,한턱,을 내다,명사
초급,할머니,가족,명사
초급,할아버지,가족,명사
초급,할인01,할인 가격,명사
초급,함께,함께 놀다,부사
초급,항공,항공 운항,명사
초급,항공권,을 예약하다,명사
초급,항상,항상 같다,부사
초급,해01,가 뜨다,명사/의존명사
초급,해마다,해마다 만나다,부사
초급,해외,에 수출하다,명사
초급,해외여행,을 가다,명사
초급,햄버거,를 먹다,명사
초급,햇빛,이 비치다,명사
초급,행동,에 옮기다,명사
초급,행복02,을 빌다,명사
초급,행사01,에 참여하다,명사
초급,허리01,신체,명사
초급,헤어지다,친구와,동사
초급,헬스클럽,에서 운동하다,명사
초급,혀01,신체,명사
초급,현금04,을 인출하다,명사
초급,현재02,현재 하는 일,명사/부사
초급,형01,가족,명사
초급,형제01,아들 삼 형제,명사
초급,호14,사월 호 잡지,의존명사
초급,호랑이,동물,명사
초급,호수07,가 맑다,명사
초급,호텔,에 묵다,명사
초급,혹시01,만일,부사
초급,혼자01,살다,부사/명사
초급,홍차,를 마시다,명사
초급,화06,가 나다,명사
초급,화가03,직업,명사
초급,화나다,친구가,동사
초급,화내다,친구에게,동사
초급,화려하다,보석이,형용사
초급,화요일,요일,명사
초급,화장실,에 가다,명사
초급,화장품,을 바르다,명사
초급,환영02,을 받다,명사
초급,환자03,을 돌보다,명사
초급,환전01,달러 환전,명사
초급,활발히,활발히 활동하다,부사
초급,회08,여러 회,의존명사
초급,회사04,에 다니다,명사
초급,회사원,직업,명사
초급,회색01,색깔,명사
초급,회원,을 모집하다,명사
초급,회의04,가 열리다,명사
초급,횡단보도,를 건너다,명사
초급,후08,오 분 후,명사
초급,후배06,영화계 후배,명사
초급,훌륭하다,작품이,형용사
초급,훨씬,훨씬 많다,부사
초급,휴가01,를 가다,명사
초급,휴게실,에서 쉬다,명사
초급,휴대폰,으로 전화하다,명사
초급,휴일,에 쉬다,명사
초급,휴지02,를 줍다,명사
초급,휴지통,에 버리다,명사
초급,흐르다01,물이,동사
초급,흐리다02,공기가,형용사
초급,흔들다,손을,동사
초급,흘리다,눈물을,동사
초급,희망,희망 사항,명사
초급,흰색,색깔,명사
초급,힘01,이 세다,명사
초급,힘들다,일이,형용사
